Name,Class,Distance (kpc),Start Time (gamma ray),Duration (gamma ray),Peak Date (optical),RA (Deg),Dec. (Deg),SPL gamma,SPL gamma error,SPL integrated flux,SPL integrated flux error,SPL flux,SPL flux error,EPL gamma,EPL gamma error,EPL cutoff ,EPL cutoff error,EPL integrated flux,EPL integrated flux error,EPL flux,EPL flux error,Source,Notes
V407 Cyg 2010,,2.7,55265,22,2010-03-10,315.5409,45.7758,2.11,0.06,5.77,0.55,0.497163,0.0473899,1.23,0.20,1.44,0.36,4.30,0.54,1.57042,0.197216,Fermi-I,
V1324 Sco 2012,,4.5,56093,17,2012-06-19,267.7246,-32.6224,2.16,0.09,5.90,0.87,0.473489,0.0698196,1.77,0.68,4.10,6.14,4.93,2.45,0.754379,0.374894,Fermi-I,
V959 Mon 2012,,3.6,56097,22,,99.9108,5.8980,2.34,0.09,4.81,0.59,0.294612,0.0361374,1.69,0.25,1.45,0.61,4.13,0.60,0.836455,0.121519,Fermi-I,
V339 Del 2013,,4.2,56520,27,2013-08-16,305.8792,20.7681,2.26,0.08,2.26,0.28,0.156487,0.0193878,1.72,0.24,1.94,0.95,1.93,0.29,0.325371,0.052947,Fermi-I,
V1369 Cen 2013,,2.5,56628.41,39,2013-12-5,208.6958,-59.1522,2.37,0.09,2.54,0.41,0.148441,0.023961,1.84,0.23,2.3,1.0,2.11,4.2,0.316163,0.629329,Fermi-II,
V5668 Sgr 2015,,2.0,57096.634,55,2015-03-21,5.3799,-28.9283,2.42,0.13,1.14,0.22,0.0615451,0.018771,2.27,0.25,9,14,1.09,0.24,0.0772033,0.0169989,Fermi-II,
V679 Car,,2.9,58401.99998843,35,,168.4742,-61.2300,,,1.9,0.5,,,1.3,0.8,2.6,2.0,1.9,0.5,0.5411,0.1424,Fermi-III (Anna),Before IC86 seasons
V1535 Sco,,7.3,57063.99996528,7,,255.8590,35.0716,2.3,0.3,1.0,0.3,0.0651543,0.0195463,1.90,0.08,4.3,1.2,1.0,0.3,0.127765,0.038329,Fermi-III (Anna),
ASASSN-16ma,,4.2,57700,15,2016-11-07 22:48:00,275.2177,-28.3700,2.11,0.05,5.9,0.5,0.508364,0.0430817,1.86,0.11,5.9,2.6,5.4,0.5,0.709619,0.065705,Nova outburst powered by shocks,
V392 Per,,3.9,58238,1,,70.8390,47.3572,1.9,0.2,8.9,2.9,1.0084,0.32858,1.90,0.08,4.3,2.0,8.9,2.9,1.13711,0.370517,http://www.astronomerstelegram.org/?read=11590,Limited gamma observations?
ASASSN-18fv (V906 Car),,,58226.0,5,,159.0643,-59.5983,2.2,0.2,20,3,1.5143,0.227145,1.90,0.08,4.3,2.0,20,3,2.55529,0.38294,http://www.astronomerstelegram.org/?read=11546,"six HE photons, one with 37 GeV"
PNV J11261220-6531086  (Mus 2018),,,58129.0,8,,171.5508,-65.5191,2.2,0.2,2.4,1,0.181716,0.0757149,1.90,0.08,4.3,2.0,2.4,0.1,0.306635,0.012776,http://www.astronomerstelegram.org/?read=11201,
ASASSN-17mt (V549 Vel),,,58050,20,,132.6234,-47.7579,1.9,0.2,0.8,0.35,0.0906426,0.0396562,1.90,0.08,4.3,2.0,0.8,0.35,0.102212,0.0447176,http://www.astronomerstelegram.org/?read=10977,
V5855 Sgr (TCP J18102829-2729590),,,57689.0,5,,272.6179,-27.4997,2.2,0.2,2.6,0.7,0.196859,0.053,1.90,0.08,4.3,2.0,2.6,0.7,0.332188,0.0894352,http://www.astronomerstelegram.org/?read=9699,
V407 Lup (ASASSN-16kt),,,57657,3,,232.2576,-44.828,2.2,0.2,1.8,0.6,0.136287,0.0454289,1.90,0.08,4.3,2.0,1.8,0.6,0.229976,0.0766588,http://www.astronomerstelegram.org/?read=9594,
